filename,text
NL-HaNA_1.04.02_8284_0001.xml,
NL-HaNA_1.04.02_8284_0002.xml,
NL-HaNA_1.04.02_8284_0003.xml,"Per t Schip Leeden
van Palembang
Ao: 1751"
NL-HaNA_1.04.02_8284_0004.xml,
NL-HaNA_1.04.02_8284_0005.xml,"A„o 1751:
thin vaartuijg aangebragt
Juragan boedin
den 28: april p„r Een
s Conings vaartuijg
den 29 maij p„r singa bij
dul gam
„lang de neptinu
den 4: aug„s
den 9: april p„r Een koning Register der papieren
Orig: missive door de residenten te Palembang gerrart Pan
en albert van laar aan haar hoog Ed=s geschreeven
Et
ged„t 28: februarij 1751:
Gt
Copia resol: genoomen in rade van politie aldaar op ged„t
16: Januarij en 17: feb:
„41.
nog ten dage voorsz: p„r den Orig: missive door de residente te Palembang gerrart
Pan en allart Anthonij van laar aan haar hoog Ed=s
58
_„o missive door en aan als vooren gesz: ged„t 28: feb:
_„o missive door en aan als vooren gesz: ged„t 30: april - -
den — - Junij p„r d'pantjal„ register der papieren
-- - -
orig: missive door en aan als vooren gesz: ged„t 21: maij --„
_„o missive door en aan als vooren gesz: ged„t 27: maij - - „ 71.
_„o maleijtse translaat gesz: door den koning van
palembang aan haar hoog Ed=s — — —
gesz: ged„t 28: feb: — - - —
„4.
Palembang
Register van alle soda„
„nige Papieren als in desen
ingeschreeven en successive„
„lijk ontfangen zijn
van
84:
:--
-
F=o „
c
--- –
-"
NL-HaNA_1.04.02_8284_0006.xml,"den 31: xber: p=r 't
schip scheeren aronds
A„o 1751
orig: maleijtse translaat gesz: door den ambassadeurs van
den 1: 9ber:
Palembang aan haar hoog Ed„s - - -
den 29: 9ber:
„ 91:
t
_„o missive door en aan als vooren gesz: ged„t 26: 8ber: - - „ 95:
„ 98.
Fol=o
Palembang
dierke
_„o missive door en aan als vooren gesz: ged„t 30: 9ber:
-
-"
NL-HaNA_1.04.02_8284_0007.xml,
NL-HaNA_1.04.02_8284_0008.xml,
NL-HaNA_1.04.02_8284_0009.xml,"N„o 1.
Van Palembang den 28 feb: 1751:
Pijskonings
peper en thin
vaartuijg
Register van zoda„
nige papieren, als
er van hier per 's
konings peper en thin
vaartuijg naar batavia
werden versonden
Geconsigneerd aan zijn
Edelheijt, den hoog Edelen
Gestrengen groot agt„
„baaren heere Jacob
Mossel Gouverneur
Generaal ende Edele
Agtbaare heeren raden
van nederlands Jndia
N:o 1. origineele missive aan wel gem:
haar hoog Edelens door
den resident alhier
onder huijdigen datum
gerigt—.
No: 2."
NL-HaNA_1.04.02_8284_0010.xml,"Van Palembang den 28: feb: 1751:
N:o 2. Copia missive, van en aan als
Even, gesz: sub dato
20:' 9ber anno 1780.
„ 3. twee. Copia resol: sub dato 16 Janu:
een 17:' feb: poss:o al
„hier in rade genomen
mede gegeven ordres
aan den stuurman
abraham meershoek
gedateerd 16:' en„ 19:'
Janu: J:o leden onder
L:s A: en B
5. Copia missive van den stuurman
te
meershoek meerm:
sub dato 22:' Jann: pass:o
aan het opperhooft
alhier gerigt
resold, benevens rapport
door gecommitteer„
„dens nopens het voor„
6. „
„ 4. „
Gevallene.
„
„"
NL-HaNA_1.04.02_8284_0011.xml,"3.
Van Palembaccq den 28 feb: 1751.
Gevallene omtrend radja
allam aan't opperhoofd
voormeld overgegeven
gedateerd 28: ' Janu: en
2. ' feb: deses Jaars
N:o 7. den dubbelden eijsch van
benodigtheeden, voor
den Jaare 17 2/23 annex
Catalogussen der benodig„
„de mediconten
„ 8. twee p:s requestenn, ten versoeke
we
om uijt den dienst
van dE: Comp: ontslagen
En
En in borger vrijdom
door haar hoog Edelens
de hooge Jndiase regee
„ring gesteld tewerden
9. origineel rapport, door den apper„
Chirurgijn deses Comp:s
Comp
nopens de gesteldheijd
van"
NL-HaNA_1.04.02_8284_0012.xml,"Van Palembang den 28:' feb: 1751.
van 'sE Comp:s slaven
aan het opperhoofd
alhier overgegeven
N:o 10. register van de verdere in dese
kos geslotene negotie
En zoldij boeken
benevens de gavone
Jaarlijxe overgaande
p
papieren —.
Palembang adij ult:o fecb:r 1751.
/was geteekend:/ A: A: v:n laar
Batavia
Aan zijn Edelheijt, den hoog Edelen
Gest: groot agtb: heere Jacob
Mossel Gouverneur Generaal,
benevens de verdere Ed: agtb: heeren
raden van nederlands Jndia
hoog
-
s"
NL-HaNA_1.04.02_8284_0013.xml,"5.
Van Palembang den 28:' feb: 1751.
Hoog Edele Gestr:
groot agtb: Erntfeste
manhafte, wel wijse
voorsienige, en seer
Genereuse heere en
heeren.
vonden ons bij de terug komst van
's konings afgesant den tommongom
soera mengala op nieuw verhert met
VE: hoog Edele groot agtb: seer geve„
„nereerde missive sub dato 14:' 9ber:
J:o leeden, bij dewelke ons teffens
grootgunstig wierd bedeelt, het
overlijden van den hoog Edelen
wel geb: heere Gustaaf Willem
baron van Janhoff en dat wederom
in desselfs plaats tot de hoog wigtige
En eminente waardigheijt van
Gouverneur generaal deser jndische
gewesten"
NL-HaNA_1.04.02_8284_0014.xml,"Van Palembang den 28. ' feeb: 1751.
gewesten was verkoren zijn hoog Ed:
groot agtb: in den hoofde deses voor„
„melt, met welke glorieuse en seer
gewenschte opkeding wij zijn hoog
Eed: groot agtb: bij desen uijt gront.
der ziele feliciteere Jehova vierig„
„lijke voorsienigheijt behage, de dier„
„
„bare persoon van wel gem: zijn
hoog Ed: groot agtb: een redx van
Jaaren met een volmaakte gesond„
„heijt, en een geluckige regeering
mildelijk tewillen zegenen, tot wel„
stand deser nederlandsche moet„
schoppij en alle derselver dienaaren
wijders bij op gem: hoog g'agte
missive met bittere ziels swerte ont„
waart hebbende het ongenoegen
van uw hoog Edele groot agtb: ten
opsigte van den eerst ondergeteeken„
de, gecauseerd uijt de aanhoudende
gefobriceerde"
NL-HaNA_1.04.02_8284_0015.xml,"Van Palembang den 28:' feb: 1751.
Gefobriceerde klagten van desen
koning, omtrend wien den eerst
onderget: geduurende zijn aanwesen
alhier integendeel alle bedenke„
„lijke minsaemheijd heeft betragt, en
ook nooijt eenig verschil met
negligeeren der Contracten tot
nadeel van dE Comp:, over welke
al te grooten, ijver en waaksaam„
„heijt den eerst ondergeteekende
van den beginne af aan wel heeft
kunne voorsien, dat den koning
seer 't onvreeden soude zijn, en
sulx dienvolgens seer gevaarlijk voor
sig selve soude weesen, gemerkt
sodra een vond esident de sluijk
handel van dit hoff en den in
voer van amphioen met een wijnig
Ernst komt tegen tegaan, sComp:s
voordeel door een groter toevloed
van"
NL-HaNA_1.04.02_8284_0016.xml,"Van Palembang den 28.:' Feb: 1751:
van peper en thin kocht te ver„
meerderen ende Contracten nade
billijkheijt soekt te mainteeren, denselve
als dan /: door de fineses van een deel
hovelingen, de welke hunne dbelang
daar in hebben /onvermijdelijk in
haet komt te vervallen bij dese zijn
hoogheijt, die dan ook na ouder ge
„woonte niet in gebreke blijft, alle
bedenkelijke klagten te inventeeren
om door dat middel van so een schade„
„lijk subject /:'t sij per fas au't
nefas:/ te mogen worden ont„
hebt, dog den eerst onderget: heeft
/:aangesien alle dese swarigheedens:/
lgter gekagt het waare belang van
zijne heeren en meesters als een
dierbaar pand voor oogen tehouden
En sig voor het overige geheel en
al eerbiedig verlaten op de bescherming
„
van"
